"iNaturalist.taxon.name","iNaturalist.taxon.ID","Taxon.name","ambiguousNameMatch","nameStatus","Common.name","Author","Kingdom","Phylum","Subphylum","Superclass","Class","Subclass","Superorder","Order","Suborder","Infraorder","Superfamily","Family","Subfamily","Tribe","Genus","Species","observationId","Date.observed","Description","Recorded.by","Captive.Cultivated","Quality.grade","coordinateUncertaintyInMeters","timestamp","long","lat"
"Riccardia latifrons",56464,"Riccardia latifrons",0,"accepted","Bog Germanderwort",,"Plantae","Marchantiophyta","","","Jungermanniopsida","Metzgeriidae","","Metzgeriales","","","","Aneuraceae","","","Riccardia","latifrons","iNat:164091718","2023-05-27T13:16:52-07:00",,"andytaggartsmith","false","needs_id",751,2023-05-27 20:16:52,-123.512158,48.94394
"Rumex obtusifolius",63371,"Rumex obtusifolius",0,"accepted","broad-leaved dock",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Caryophyllales","","","","Polygonaceae","Polygonoideae","Rumiceae","Rumex","obtusifolius","iNat:164091737","2023-05-27T13:18:14-07:00",,"andytaggartsmith","false","research",30,2023-05-27 20:18:14,-123.512041,48.943854
"Hylocomiaceae",71051,"Hylocomiaceae",0,"accepted","",,"Plantae","Bryophyta","","","Bryopsida","","","Hypnales","","","","Hylocomiaceae","","","","","iNat:164091757","2023-05-27T13:20:33-07:00",,"andytaggartsmith","false","needs_id",171,2023-05-27 20:20:33,-123.511975,48.944095
"Kindbergia praelonga",1122172,"Kindbergia praelonga",0,"accepted","Common Feather-moss",,"Plantae","Bryophyta","","","Bryopsida","","","Hypnales","","","","Brachytheciaceae","","","Kindbergia","praelonga","iNat:164091924","2023-05-27T13:21:21-07:00",,"andytaggartsmith","false","needs_id",77,2023-05-27 20:21:21,-123.511827,48.944103
"Rubus parviflorus",51646,"Rubus parviflorus",0,"accepted","thimbleberry",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Rosales","","","","Rosaceae","Rosoideae","Rubeae","Rubus","parviflorus","iNat:164092005","2023-05-27T13:25:46-07:00",,"andytaggartsmith","false","research",10,2023-05-27 20:25:46,-123.511769,48.943589
"Nasturtium officinale",78174,"Nasturtium officinale",0,"accepted","watercress",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Brassicales","","","","Brassicaceae","Brassicoideae","Cardamineae","Nasturtium","officinale","iNat:164092174","2023-05-27T13:30:41-07:00",,"andytaggartsmith","false","research",22,2023-05-27 20:30:41,-123.511883,48.943903
"Carex macloviana",160005,"Carex macloviana",0,"accepted","Thickhead sedge",,"Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Poales","","","","Cyperaceae","Cyperoideae","Cariceae","Carex","macloviana","iNat:164092361","2023-05-27T13:32:33-07:00",,"andytaggartsmith","false","needs_id",2031,2023-05-27 20:32:33,-123.51192,48.944054
"Rubus spectabilis",47543,"Rubus spectabilis",0,"accepted","Salmonberry",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Rosales","","","","Rosaceae","Rosoideae","Rubeae","Rubus","spectabilis","iNat:164092413","2023-05-27T13:35:09-07:00",,"andytaggartsmith","false","research",81,2023-05-27 20:35:09,-123.511878,48.94403
"Malacosoma californica",359294,"Malacosoma californica",0,"accepted","Western Tent Caterpillar Moth",,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Lepidoptera","","","Lasiocampoidea","Lasiocampidae","Malacosominae","","Malacosoma","californica","iNat:164092539","2023-05-27T13:35:50-07:00",,"andytaggartsmith","false","research",305,2023-05-27 20:35:50,-123.511725,48.944091
"Sympetrum",51556,"Sympetrum",0,"accepted","Meadowhawks",,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Odonata","Anisoptera","","Libelluloidea","Libellulidae","","","Sympetrum","","iNat:164092564","2023-05-27T13:39:26-07:00",,"andytaggartsmith","false","needs_id",27,2023-05-27 20:39:26,-123.511532,48.94379
"Scirpus microcarpus",59068,"Scirpus microcarpus",0,"accepted","Panicled Bulrush",,"Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Poales","","","","Cyperaceae","Cyperoideae","Scirpeae","Scirpus","microcarpus","iNat:164092609","2023-05-27T13:40:59-07:00",,"andytaggartsmith","false","research",85,2023-05-27 20:40:59,-123.511701,48.943351
"Lysimachia latifolia",496537,"Lysimachia latifolia",0,"accepted","Western Starflower",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Ericales","","","","Primulaceae","Myrsinoideae","","Lysimachia","latifolia","iNat:175259440","2023-05-27T09:50:43-07:00",,"phmstone","false","research",10,2023-05-27 16:50:43,-123.510783,48.943542
"Corallorhiza maculata",49475,"Corallorhiza maculata",0,"accepted","spotted coralroot",,"Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Asparagales","","","","Orchidaceae","Epidendroideae","Epidendreae","Corallorhiza","maculata","iNat:175259571","2023-05-27T10:13:46-07:00",,"phmstone","false","research",10,2023-05-27 17:13:46,-123.510789,48.943542
"Goodyera oblongifolia",50719,"Goodyera oblongifolia",0,"accepted","Western Rattlesnake Plantain",,"Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Asparagales","","","","Orchidaceae","Orchidoideae","Cranichideae","Goodyera","oblongifolia","iNat:175259757","2023-05-27T10:14:40-07:00",,"phmstone","false","research",10,2023-05-27 17:14:40,-123.510789,48.943542
"Pentagramma triangularis",52676,"Pentagramma triangularis",0,"accepted","goldback fern",,"Plantae","Tracheophyta","","","Polypodiopsida","Polypodiidae","","Polypodiales","Pteridineae","","","Pteridaceae","Cheilanthoideae","","Pentagramma","triangularis","iNat:171622940","2023-05-27T10:16:52-07:00",,"phmstone","false","research",123,2023-05-27 17:16:52,-123.512955,48.944987
"Thamnophis sirtalis pickeringii",28363,"Thamnophis sirtalis pickeringii",0,"accepted","Puget Sound Garter Snake",,"Animalia","Chordata","Vertebrata","","Reptilia","","","Squamata","Serpentes","","","Colubridae","Natricinae","","Thamnophis","sirtalis","iNat:179640939","2023-05-27T11:05:57-07:00",,"phmstone","false","research",316,2023-05-27 18:05:57,-123.50977,48.944767
"Nemophila parviflora",57353,"Nemophila parviflora",0,"accepted","small-flowered nemophila",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Boraginales","","","","Boraginaceae","Hydrophylloideae","","Nemophila","parviflora","iNat:175259887","2023-05-27T11:41:15-07:00",,"phmstone","false","research",10,2023-05-27 18:41:15,-123.511886,48.944975
"Claytonia sibirica",55767,"Claytonia sibirica",0,"accepted","Candy Flower",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Caryophyllales","","","","Montiaceae","","","Claytonia","sibirica","iNat:175259698","2023-05-27T11:46:36-07:00",,"phmstone","false","research",10,2023-05-27 18:46:36,-123.513408,48.943033
"Fragaria vesca",50298,"Fragaria vesca",0,"accepted","woodland strawberry",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Rosales","","","","Rosaceae","Rosoideae","Potentilleae","Fragaria","vesca","iNat:179640742","2023-05-27T13:26:37-07:00",,"phmstone","false","research",336,2023-05-27 20:26:37,-123.51262,48.944604
"Pentagramma triangularis",52676,"Pentagramma triangularis",0,"accepted","goldback fern",,"Plantae","Tracheophyta","","","Polypodiopsida","Polypodiidae","","Polypodiales","Pteridineae","","","Pteridaceae","Cheilanthoideae","","Pentagramma","triangularis","iNat:164028110","2023-05-27T10:18:52-07:00",,"Tyler Innes","false","research",59,2023-05-27 17:18:52,-123.510162,48.943734
"Cardamine hirsuta",55829,"Cardamine hirsuta",0,"accepted","hairy bittercress",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Brassicales","","","","Brassicaceae","Brassicoideae","Cardamineae","Cardamine","hirsuta","iNat:164033093","2023-05-27T10:33:30-07:00",,"Tyler Innes","false","research",58,2023-05-27 17:33:30,-123.510144,48.944049
"Kindbergia oregana",120909,"Kindbergia oregana",0,"accepted","Oregon Beaked Moss",,"Plantae","Bryophyta","","","Bryopsida","","","Hypnales","","","","Brachytheciaceae","","","Kindbergia","oregana","iNat:164036693","2023-05-27T10:52:09-07:00",,"Tyler Innes","false","research",1769,2023-05-27 17:52:09,-123.510907,48.944668
"Stellaria media",53298,"Stellaria media",0,"accepted","common chickweed",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Caryophyllales","","","","Caryophyllaceae","","Alsineae","Stellaria","media","iNat:164036982","2023-05-27T11:02:38-07:00",,"Tyler Innes","false","research",20,2023-05-27 18:02:38,-123.510893,48.944598
"Pseudisothecium stoloniferum",1262643,"Pseudisothecium stoloniferum",0,"accepted","Cat's Tail Moss",,"Plantae","Bryophyta","","","Bryopsida","","","Hypnales","","","","Lembophyllaceae","","","Pseudisothecium","stoloniferum","iNat:164045726","2023-05-27T11:44:37-07:00",,"Tyler Innes","false","research",35,2023-05-27 18:44:37,-123.511558,48.944787
"Erythranthe ptilota",771908,"Erythranthe ptilota",0,"accepted","wing-leaf monkeyflower",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Lamiales","","","","Phrymaceae","","","Erythranthe","ptilota","iNat:164049807","2023-05-27T11:59:44-07:00",,"Tyler Innes","false","research",339,2023-05-27 18:59:44,-123.511882,48.945489
"Carex leptopoda",76070,"Carex leptopoda",0,"accepted","slender-footed sedge",,"Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Poales","","","","Cyperaceae","Cyperoideae","Cariceae","Carex","leptopoda","iNat:164049938","2023-05-27T12:00:42-07:00",,"Tyler Innes","false","research",767,2023-05-27 19:00:42,-123.512165,48.945584
"Hypogymnia tubulosa",179720,"Hypogymnia tubulosa",0,"accepted","Powder-headed Tube Lichen",,"Fungi","Ascomycota","Pezizomycotina","","Lecanoromycetes","Lecanoromycetidae","","Lecanorales","","","","Parmeliaceae","Parmelioideae","","Hypogymnia","tubulosa","iNat:164050320","2023-05-27T12:02:51-07:00",,"Tyler Innes","false","needs_id",10,2023-05-27 19:02:51,-123.512394,48.945392
"Tuckermanopsis orbata",813868,"Tuckermanopsis orbata",0,"accepted","variable wrinkle-lichen",,"Fungi","Ascomycota","Pezizomycotina","","Lecanoromycetes","Lecanoromycetidae","","Lecanorales","","","","Parmeliaceae","Parmelioideae","","Tuckermanopsis","orbata","iNat:164051363","2023-05-27T12:05:24-07:00",,"Tyler Innes","false","research",472,2023-05-27 19:05:24,-123.512893,48.945296
"Carex",633229,"Carex",0,"accepted","Carex sect. Carex",,"Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Poales","","","","Cyperaceae","Cyperoideae","Cariceae","Carex","","iNat:164051763","2023-05-27T12:10:02-07:00",,"Tyler Innes","false","needs_id",164,2023-05-27 19:10:02,-123.513281,48.944846
"Veronica serpyllifolia",55749,"Veronica serpyllifolia",0,"accepted","thyme-leaved speedwell",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Lamiales","","","","Plantaginaceae","","Veroniceae","Veronica","serpyllifolia","iNat:164053832","2023-05-27T12:13:41-07:00",,"Tyler Innes","false","research",10,2023-05-27 19:13:41,-123.512647,48.944775
"Marrubium vulgare",54605,"Marrubium vulgare",0,"accepted","White Horehound",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Lamiales","","","","Lamiaceae","Lamioideae","Marrubieae","Marrubium","vulgare","iNat:164066089","2023-05-27T12:20:21-07:00",,"Tyler Innes","false","research",754,2023-05-27 19:20:21,-123.512199,48.943957
"Carex pachystachya",76089,"Carex pachystachya",0,"accepted","starry broomsedge",,"Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Poales","","","","Cyperaceae","Cyperoideae","Cariceae","Carex","pachystachya","iNat:164066373","2023-05-27T12:50:37-07:00",,"Tyler Innes","false","research",21,2023-05-27 19:50:37,-123.511973,48.943929
"Lemna",54519,"Lemna",0,"accepted","Duckweeds",,"Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Alismatales","","","","Araceae","Lemnoideae","","Lemna","","iNat:164068211","2023-05-27T13:24:47-07:00",,"Tyler Innes","false","needs_id",65,2023-05-27 20:24:47,-123.511981,48.9438
"Nasturtium officinale",78174,"Nasturtium officinale",0,"accepted","watercress",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Brassicales","","","","Brassicaceae","Brassicoideae","Cardamineae","Nasturtium","officinale","iNat:164093486","2023-05-27T13:25:15-07:00",,"Tyler Innes","false","research",10,2023-05-27 20:25:15,-123.512002,48.943846
"Rumex obtusifolius",63371,"Rumex obtusifolius",0,"accepted","broad-leaved dock",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Caryophyllales","","","","Polygonaceae","Polygonoideae","Rumiceae","Rumex","obtusifolius","iNat:164093559","2023-05-27T13:27:26-07:00",,"Tyler Innes","false","research",579,2023-05-27 20:27:26,-123.511942,48.943817
"Fragaria vesca",50298,"Fragaria vesca",0,"accepted","woodland strawberry",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Rosales","","","","Rosaceae","Rosoideae","Potentilleae","Fragaria","vesca","iNat:164093623","2023-05-27T13:29:28-07:00",,"Tyler Innes","false","research",57,2023-05-27 20:29:28,-123.511793,48.943815
"Hydropunctaria maura",197141,"Hydropunctaria maura",0,"accepted","Wart Lichen",,"Fungi","Ascomycota","Pezizomycotina","","Eurotiomycetes","Chaetothyriomycetidae","","Verrucariales","","","","Verrucariaceae","","","Hydropunctaria","maura","iNat:164148467","2023-05-27T09:43:00-07:00",,"Jackson W.F. Chu","false","needs_id",10,2023-05-27 16:43:00,-123.509262,48.943331
"Balanus glandula",81610,"Balanus glandula",0,"accepted","Pacific Acorn Barnacle",,"Animalia","Arthropoda","Crustacea","Multicrustacea","Hexanauplia","Thecostraca","Thoracicalcarea","Balanomorpha","","","Balanoidea","Balanidae","","","Balanus","glandula","iNat:164148468","2023-05-27T09:43:00-07:00",,"Jackson W.F. Chu","false","needs_id",10,2023-05-27 16:43:00,-123.509286,48.943333
"Magallana gigas",605992,"Magallana gigas",0,"accepted","Pacific Oyster",,"Animalia","Mollusca","","","Bivalvia","Autobranchia","","Ostreida","","","Ostreoidea","Ostreidae","Crassostreinae","","Magallana","gigas","iNat:164148471","2023-05-27T09:49:00-07:00",,"Jackson W.F. Chu","false","needs_id",10,2023-05-27 16:49:00,-123.50925,48.943363
"Lottia persona",339143,"Lottia persona",0,"accepted","Mask Limpet",,"Animalia","Mollusca","","","Gastropoda","Patellogastropoda","","","","","Lottioidea","Lottiidae","Lottiinae","Lottiini","Lottia","persona","iNat:164148472","2023-05-27T09:49:00-07:00",,"Jackson W.F. Chu","false","research",10,2023-05-27 16:49:00,-123.509251,48.943365
"Ulva",54644,"Ulva",0,"accepted","Sea Lettuces",,"Plantae","Chlorophyta","","","Ulvophyceae","","","Ulvales","","","","Ulvaceae","","","Ulva","","iNat:164148474","2023-05-27T09:51:00-07:00",,"Jackson W.F. Chu","false","needs_id",10,2023-05-27 16:51:00,-123.509345,48.94337
"Anthopleura elegantissima",52564,"Anthopleura elegantissima",0,"accepted","Aggregating Anemone",,"Animalia","Cnidaria","","","Anthozoa","Hexacorallia","","Actiniaria","Enthemonae","","Actinioidea","Actiniidae","","","Anthopleura","elegantissima","iNat:164148473","2023-05-27T09:52:00-07:00",,"Jackson W.F. Chu","false","research",10,2023-05-27 16:52:00,-123.5092,48.943333
"Mastocarpus",117821,"Mastocarpus",0,"accepted","encrusting red algae",,"Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae","","Gigartinales","","","","Phyllophoraceae","","","Mastocarpus","","iNat:164148475","2023-05-27T09:52:00-07:00",,"Jackson W.F. Chu","false","research",10,2023-05-27 16:52:00,-123.509254,48.943344
"Fucus distichus",69155,"Fucus distichus",0,"accepted","Rockweed",,"Chromista","Ochrophyta","","","Phaeophyceae","Fucophycidae","","Fucales","","","","Fucaceae","","","Fucus","distichus","iNat:164148476","2023-05-27T09:52:00-07:00",,"Jackson W.F. Chu","false","research",10,2023-05-27 16:52:00,-123.50928,48.94335
"Cymatogaster aggregata",98855,"Cymatogaster aggregata",0,"accepted","Shiner Surfperch",,"Animalia","Chordata","Vertebrata","","Actinopterygii","","","Blenniiformes","","","","Embiotocidae","","","Cymatogaster","aggregata","iNat:164148477","2023-05-27T09:53:00-07:00",,"Jackson W.F. Chu","false","research",10,2023-05-27 16:53:00,-123.50923,48.943325
"Hemigrapsus nudus",48342,"Hemigrapsus nudus",0,"accepted","Purple Shore Crab",,"Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Brachyura","Grapsoidea","Varunidae","Varuninae","","Hemigrapsus","nudus","iNat:164148481","2023-05-27T09:53:00-07:00",,"Jackson W.F. Chu","false","research",10,2023-05-27 16:53:00,-123.509178,48.943314
"Lecanoromycetes",54743,"Lecanoromycetes",0,"accepted","common lichens",,"Fungi","Ascomycota","Pezizomycotina","","Lecanoromycetes","","","","","","","","","","","","iNat:164148482","2023-05-27T09:54:00-07:00",,"Jackson W.F. Chu","false","needs_id",10,2023-05-27 16:54:00,-123.509173,48.943399
"Lecanoromycetes",54743,"Lecanoromycetes",0,"accepted","common lichens",,"Fungi","Ascomycota","Pezizomycotina","","Lecanoromycetes","","","","","","","","","","","","iNat:164148483","2023-05-27T09:54:00-07:00",,"Jackson W.F. Chu","false","needs_id",10,2023-05-27 16:54:00,-123.509166,48.9434
"Parmelia",54735,"Parmelia",0,"accepted","shield lichens",,"Fungi","Ascomycota","Pezizomycotina","","Lecanoromycetes","Lecanoromycetidae","","Lecanorales","","","","Parmeliaceae","Parmelioideae","","Parmelia","","iNat:164148486","2023-05-27T09:55:00-07:00",,"Jackson W.F. Chu","false","needs_id",10,2023-05-27 16:55:00,-123.509186,48.943405
"Lecanoromycetes",54743,"Lecanoromycetes",0,"accepted","common lichens",,"Fungi","Ascomycota","Pezizomycotina","","Lecanoromycetes","","","","","","","","","","","","iNat:164148487","2023-05-27T09:55:00-07:00",,"Jackson W.F. Chu","false","needs_id",10,2023-05-27 16:55:00,-123.50922,48.943386
"Quercus garryana",68632,"Quercus garryana",0,"accepted","Oregon oak",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Fagales","","","","Fagaceae","","","Quercus","garryana","iNat:164148488","2023-05-27T09:56:00-07:00",,"Jackson W.F. Chu","false","research",10,2023-05-27 16:56:00,-123.50938,48.943386
"Ulva intestinalis",130197,"Ulva intestinalis",0,"accepted","Gutweed",,"Plantae","Chlorophyta","","","Ulvophyceae","","","Ulvales","","","","Ulvaceae","","","Ulva","intestinalis","iNat:164148496","2023-05-27T09:56:00-07:00",,"Jackson W.F. Chu","false","needs_id",10,2023-05-27 16:56:00,-123.50943,48.9434
"Cytisus scoparius",48538,"Cytisus scoparius",0,"accepted","Scotch Broom",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Fabales","","","","Fabaceae","Faboideae","Genisteae","Cytisus","scoparius","iNat:164148493","2023-05-27T09:58:00-07:00",,"Jackson W.F. Chu","false","research",10,2023-05-27 16:58:00,-123.509445,48.943428
"Cakile maritima",60982,"Cakile maritima",0,"accepted","European Searocket",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Brassicales","","","","Brassicaceae","Brassicoideae","Brassiceae","Cakile","maritima","iNat:164148494","2023-05-27T09:59:00-07:00",,"Jackson W.F. Chu","false","research",10,2023-05-27 16:59:00,-123.509458,48.94344
"Malacosoma californica",359294,"Malacosoma californica",0,"accepted","Western Tent Caterpillar Moth",,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Lepidoptera","","","Lasiocampoidea","Lasiocampidae","Malacosominae","","Malacosoma","californica","iNat:164148498","2023-05-27T10:00:00-07:00",,"Jackson W.F. Chu","false","research",10,2023-05-27 17:00:00,-123.509674,48.943417
"Ramalina",48325,"Ramalina",0,"accepted","bushy lichens",,"Fungi","Ascomycota","Pezizomycotina","","Lecanoromycetes","Lecanoromycetidae","","Lecanorales","","","","Ramalinaceae","","","Ramalina","","iNat:164148499","2023-05-27T10:03:00-07:00",,"Jackson W.F. Chu","false","needs_id",10,2023-05-27 17:03:00,-123.51041,48.943485
"Parmelia",54735,"Parmelia",0,"accepted","shield lichens",,"Fungi","Ascomycota","Pezizomycotina","","Lecanoromycetes","Lecanoromycetidae","","Lecanorales","","","","Parmeliaceae","Parmelioideae","","Parmelia","","iNat:164148500","2023-05-27T10:03:00-07:00",,"Jackson W.F. Chu","false","needs_id",10,2023-05-27 17:03:00,-123.510315,48.943577
"Melanelixia",194687,"Melanelixia",0,"accepted","",,"Fungi","Ascomycota","Pezizomycotina","","Lecanoromycetes","Lecanoromycetidae","","Lecanorales","","","","Parmeliaceae","Parmelioideae","","Melanelixia","","iNat:164148501","2023-05-27T10:04:00-07:00",,"Jackson W.F. Chu","false","needs_id",10,2023-05-27 17:04:00,-123.51005,48.943577
"Ochrolechia laevigata",179755,"Ochrolechia laevigata",0,"accepted","Smooth Saucer Lichen",,"Fungi","Ascomycota","Pezizomycotina","","Lecanoromycetes","Ostropomycetidae","","Pertusariales","","","","Ochrolechiaceae","","","Ochrolechia","laevigata","iNat:164148502","2023-05-27T10:04:00-07:00",,"Jackson W.F. Chu","false","needs_id",10,2023-05-27 17:04:00,-123.51002,48.943559
"Salticus scenicus",68901,"Salticus scenicus",0,"accepted","Zebra Jumping Spider",,"Animalia","Arthropoda","Chelicerata","","Arachnida","","","Araneae","Araneomorphae","Entelegynae","Salticoidea","Salticidae","Salticinae","Salticini","Salticus","scenicus","iNat:164148503","2023-05-27T10:05:00-07:00",,"Jackson W.F. Chu","false","research",10,2023-05-27 17:05:00,-123.51,48.943523
"Lathyrus latifolius",61009,"Lathyrus latifolius",0,"accepted","broad-leaved sweet pea",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Fabales","","","","Fabaceae","Faboideae","Fabeae","Lathyrus","latifolius","iNat:164148504","2023-05-27T10:05:00-07:00",,"Jackson W.F. Chu","false","research",10,2023-05-27 17:05:00,-123.51002,48.94351
"Gaultheria shallon",48441,"Gaultheria shallon",0,"accepted","salal",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Ericales","","","","Ericaceae","Vaccinioideae","Gaultherieae","Gaultheria","shallon","iNat:164148505","2023-05-27T10:05:00-07:00",,"Jackson W.F. Chu","false","research",10,2023-05-27 17:05:00,-123.510025,48.94351
"Berberis nervosa",75756,"Berberis nervosa",0,"accepted","Cascade Oregon-grape",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Ranunculales","","","","Berberidaceae","Berberidoideae","Berberideae","Berberis","nervosa","iNat:164148508","2023-05-27T10:06:00-07:00",,"Jackson W.F. Chu","false","research",10,2023-05-27 17:06:00,-123.510025,48.943502
"Kindbergia oregana",120909,"Kindbergia oregana",0,"accepted","Oregon Beaked Moss",,"Plantae","Bryophyta","","","Bryopsida","","","Hypnales","","","","Brachytheciaceae","","","Kindbergia","oregana","iNat:164148509","2023-05-27T10:06:00-07:00",,"Jackson W.F. Chu","false","needs_id",10,2023-05-27 17:06:00,-123.509995,48.943516
"Galium aparine",53059,"Galium aparine",0,"accepted","catchweed bedstraw",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Gentianales","","","","Rubiaceae","Rubioideae","Rubieae","Galium","aparine","iNat:164148510","2023-05-27T10:07:00-07:00",,"Jackson W.F. Chu","false","research",10,2023-05-27 17:07:00,-123.50971,48.94373
"Lysimachia latifolia",496537,"Lysimachia latifolia",0,"accepted","Western Starflower",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Ericales","","","","Primulaceae","Myrsinoideae","","Lysimachia","latifolia","iNat:164148513","2023-05-27T10:08:00-07:00",,"Jackson W.F. Chu","false","research",10,2023-05-27 17:08:00,-123.50974,48.943726
"Pseudisothecium stoloniferum",1262643,"Pseudisothecium stoloniferum",0,"accepted","Cat's Tail Moss",,"Plantae","Bryophyta","","","Bryopsida","","","Hypnales","","","","Lembophyllaceae","","","Pseudisothecium","stoloniferum","iNat:164148514","2023-05-27T10:08:00-07:00",,"Jackson W.F. Chu","false","research",10,2023-05-27 17:08:00,-123.50975,48.943745
"Berberis nervosa",75756,"Berberis nervosa",0,"accepted","Cascade Oregon-grape",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Ranunculales","","","","Berberidaceae","Berberidoideae","Berberideae","Berberis","nervosa","iNat:164148515","2023-05-27T10:08:00-07:00",,"Jackson W.F. Chu","false","research",10,2023-05-27 17:08:00,-123.50982,48.943752
"Lonicera hispidula",53416,"Lonicera hispidula",0,"accepted","Pink Honeysuckle",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Dipsacales","","","","Caprifoliaceae","Caprifolioideae","","Lonicera","hispidula","iNat:164148518","2023-05-27T10:11:00-07:00",,"Jackson W.F. Chu","false","research",10,2023-05-27 17:11:00,-123.50974,48.943718
"Vicia americana",53320,"Vicia americana",0,"accepted","American vetch",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Fabales","","","","Fabaceae","Faboideae","Fabeae","Vicia","americana","iNat:164148519","2023-05-27T10:13:00-07:00",,"Jackson W.F. Chu","false","research",10,2023-05-27 17:13:00,-123.509766,48.943764
"Rosa gymnocarpa",53441,"Rosa gymnocarpa",0,"accepted","Baldhip Rose",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Rosales","","","","Rosaceae","Rosoideae","Roseae","Rosa","gymnocarpa","iNat:164148520","2023-05-27T10:14:00-07:00",,"Jackson W.F. Chu","false","research",10,2023-05-27 17:14:00,-123.50973,48.943754
"Anisocarpus madioides",53137,"Anisocarpus madioides",0,"accepted","woodland madia",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Asterales","","","","Asteraceae","Asteroideae","Madieae","Anisocarpus","madioides","iNat:164148525","2023-05-27T10:14:00-07:00",,"Jackson W.F. Chu","false","research",10,2023-05-27 17:14:00,-123.50973,48.943755
"Vicia sativa",53324,"Vicia sativa",0,"accepted","Common Vetch",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Fabales","","","","Fabaceae","Faboideae","Fabeae","Vicia","sativa","iNat:164148523","2023-05-27T10:15:00-07:00",,"Jackson W.F. Chu","false","research",10,2023-05-27 17:15:00,-123.509766,48.94376
"Lathyrus nevadensis",77640,"Lathyrus nevadensis",0,"accepted","Sierra Nevada Peavine",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Fabales","","","","Fabaceae","Faboideae","Fabeae","Lathyrus","nevadensis","iNat:164148524","2023-05-27T10:15:00-07:00",,"Jackson W.F. Chu","false","research",10,2023-05-27 17:15:00,-123.509767,48.943773
"Osmorhiza berteroi",53166,"Osmorhiza berteroi",0,"accepted","mountain sweet cicely",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Apiales","","","","Apiaceae","Apioideae","Scandiceae","Osmorhiza","berteroi","iNat:164148526","2023-05-27T10:16:00-07:00",,"Jackson W.F. Chu","false","research",10,2023-05-27 17:16:00,-123.509675,48.943739
"Corallorhiza maculata",49475,"Corallorhiza maculata",0,"accepted","spotted coralroot",,"Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Asparagales","","","","Orchidaceae","Epidendroideae","Epidendreae","Corallorhiza","maculata","iNat:164148527","2023-05-27T10:18:00-07:00",,"Jackson W.F. Chu","false","research",10,2023-05-27 17:18:00,-123.50996,48.943844
