"OID","cell_id","NEAR_DIST","uc","radius","assigned_community","fringe_dist"
10,280951,4457.75678606323,32,53.2132034355964,0,4457.75678606323
8,281620,4192.3972315833,12,33.2132034355964,0,4192.3972315833
8,281621,4216.71539490376,12,33.2132034355964,0,4216.71539490376
8,281622,4241.10471175892,12,33.2132034355964,0,4241.10471175892
8,281623,4265.56396163658,12,33.2132034355964,0,4265.56396163658
10,281653,4454.68645655994,32,53.2132034355964,0,4454.68645655994
10,281654,4435.0830340201,32,53.2132034355964,0,4435.0830340201
10,281655,4415.5950625988,32,53.2132034355964,0,4415.5950625988
8,282324,4234.12939708877,12,33.2132034355964,0,4234.12939708877
8,282325,4258.41910999656,12,33.2132034355964,0,4258.41910999656
8,282326,4282.77960807135,12,33.2132034355964,0,4282.77960807135
8,282327,4307.20969028643,12,33.2132034355964,0,4307.20969028643
10,282357,4412.49553733737,32,53.2132034355964,0,4412.49553733737
10,282358,4392.90725793604,32,53.2132034355964,0,4392.90725793604
10,282359,4373.43567942667,32,53.2132034355964,0,4373.43567942667
8,283029,4300.13439617561,12,33.2132034355964,0,4300.13439617561
8,283030,4324.46656823624,12,33.2132034355964,0,4324.46656823624
8,283031,4348.86797613647,12,33.2132034355964,0,4348.86797613647
8,283032,4373.33746095377,12,33.2132034355964,0,4373.33746095377
10,283061,4370.30639546271,32,53.2132034355964,0,4370.30639546271
10,283062,4350.73356305707,32,53.2132034355964,0,4350.73356305707
10,283063,4331.2787082186,32,53.2132034355964,0,4331.2787082186
8,283733,4341.86092324956,12,33.2132034355964,0,4341.86092324956
8,283734,4366.16525000679,12,33.2132034355964,0,4366.16525000679
8,283735,4390.53846503466,12,33.2132034355964,0,4390.53846503466
8,283742,4562.98672192589,12,33.2132034355964,0,4562.98672192589
10,283765,4328.11908625084,32,53.2132034355964,0,4328.11908625084
10,283766,4308.56201384946,32,53.2132034355964,0,4308.56201384946
10,283767,4289.12422346186,32,53.2132034355964,0,4289.12422346186
8,284437,4383.59837350746,12,33.2132034355964,0,4383.59837350746
8,284438,4407.87532399303,12,33.2132034355964,0,4407.87532399303
8,284440,4456.6337263932,12,33.2132034355964,0,4456.6337263932
8,284442,4505.65741543025,12,33.2132034355964,0,4505.65741543025
8,284443,4530.26605291815,12,33.2132034355964,0,4530.26605291815
8,284444,4554.9378254646,12,33.2132034355964,0,4554.9378254646
8,284445,4579.67171270308,12,33.2132034355964,0,4579.67171270308
8,284446,4604.46671364155,12,33.2132034355964,0,4604.46671364155
10,284469,4285.93366718679,32,53.2132034355964,0,4285.93366718679
10,284470,4266.392677323,32,53.2132034355964,0,4266.392677323
10,284471,4246.97230259817,32,53.2132034355964,0,4246.97230259817
8,285142,4449.5964730693,12,33.2132034355964,0,4449.5964730693
8,285143,4473.9147008478,12,33.2132034355964,0,4473.9147008478
8,285144,4498.30001845635,12,33.2132034355964,0,4498.30001845635
8,285145,4522.75134071093,12,33.2132034355964,0,4522.75134071093
8,285146,4547.26760286322,12,33.2132034355964,0,4547.26760286322
8,285147,4571.8477601998,12,33.2132034355964,0,4571.8477601998
8,285148,4596.4907876667,12,33.2132034355964,0,4596.4907876667
10,285173,4243.75019804151,32,53.2132034355964,0,4243.75019804151
10,285174,4224.22562316697,32,53.2132034355964,0,4224.22562316697
10,285175,4204.82302616936,32,53.2132034355964,0,4204.82302616936
8,285846,4491.32839180681,12,33.2132034355964,0,4491.32839180681
8,285847,4515.61980314371,12,33.2132034355964,0,4515.61980314371
8,285848,4539.97797659053,12,33.2132034355964,0,4539.97797659053
8,285849,4564.4018433106,12,33.2132034355964,0,4564.4018433106
8,285850,4588.8903543635,12,33.2132034355964,0,4588.8903543635
8,285851,4613.44248034096,12,33.2132034355964,0,4613.44248034096
8,285852,4638.05721097903,12,33.2132034355964,0,4638.05721097903
8,285853,4662.73355480219,12,33.2132034355964,0,4662.73355480219
10,285854,4680.62915534791,32,53.2132034355964,0,4680.62915534791
10,285877,4201.56874098416,32,53.2132034355964,0,4201.56874098416
10,285878,4182.06092386872,32,53.2132034355964,0,4182.06092386872
10,285879,4162.67647797258,32,53.2132034355964,0,4162.67647797258
8,286555,4655.04986761042,12,33.2132034355964,0,4655.04986761042
8,286556,4679.63673978142,12,33.2132034355964,0,4679.63673978142
10,286557,4660.38618091623,32,53.2132034355964,0,4660.38618091623
10,286558,4638.37506659962,32,53.2132034355964,0,4638.37506659962
10,286581,4159.38936070163,32,53.2132034355964,0,4159.38936070163
10,286582,4139.89865487226,32,53.2132034355964,0,4139.89865487226
10,286583,4120.53274523028,32,53.2132034355964,0,4120.53274523028
10,287259,4662.44187472221,32,53.2132034355964,0,4662.44187472221
10,287260,4640.24771041671,32,53.2132034355964,0,4640.24771041671
10,287261,4618.14049327127,32,53.2132034355964,0,4618.14049327127
10,287262,4596.12147792858,32,53.2132034355964,0,4596.12147792858
10,287285,4117.21212453271,32,53.2132034355964,0,4117.21212453271
10,287286,4097.73889472001,32,53.2132034355964,0,4097.73889472001
10,287287,4078.3919187635,32,53.2132034355964,0,4078.3919187635
10,287963,4620.21511037463,32,53.2132034355964,0,4620.21511037463
10,287964,4598.01145780321,32,53.2132034355964,0,4598.01145780321
10,287965,4575.89546410139,32,53.2132034355964,0,4575.89546410139
10,287966,4553.86840642316,32,53.2132034355964,0,4553.86840642316
10,287989,4075.03710259301,32,53.2132034355964,0,4075.03710259301
10,287990,4055.58172521177,32,53.2132034355964,0,4055.58172521177
10,287991,4036.25409317878,32,53.2132034355964,0,4036.25409317878
